gis_id,a_name,lat,lon,adress1,pref_id,pref_name,city_name,extract,thumbnail,note_url
1022393,利尻山,45.178536,141.242036,,0,北海道,,"標高1,721m",,https://ja.wikipedia.org/wiki/%E5%88%A9%E5%B0%BB%E5%B1%B1
1022394,羅臼岳,44.075917,145.122246,,1,北海道,,"標高1,660m",,https://ja.wikipedia.org/wiki/%E7%BE%85%E8%87%BC%E5%B2%B3
1022395,斜里岳,43.765743,144.717659,,1,北海道,,"標高1,545m",,https://ja.wikipedia.org/wiki/%E6%96%9C%E9%87%8C%E5%B2%B3
1022396,雌阿寒岳,43.374063,144.006504,,1,北海道,,"標高1,499m",,https://ja.wikipedia.org/wiki/%E9%9B%8C%E9%98%BF%E5%AF%92%E5%B2%B3
1022397,大雪山,43.663582,142.854138,,1,北海道,,"標高2,291m",,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%9B%AA%E5%B1%B1
1022398,トムラウシ山,43.527111,142.84879,,1,北海道,,"標高2,141m",,https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%A0%E3%83%A9%E3%82%A6%E3%82%B7%E5%B1%B1
1022399,十勝岳,43.417859,142.686283,,1,北海道,,"標高2,077m",,https://ja.wikipedia.org/wiki/%E5%8D%81%E5%8B%9D%E5%B2%B3
1022400,幌尻岳,42.719435,142.682894,,1,北海道,,"標高2,052m",,https://ja.wikipedia.org/wiki/%E5%B9%8C%E5%B0%BB%E5%B2%B3
1022401,羊蹄山,42.4927,140.4854,,0,北海道,,"標高1,898m",,https://ja.wikipedia.org/wiki/%E7%BE%8A%E8%B9%84%E5%B1%B1
1022402,早池峰山,39.558445,141.488876,,3,岩手県,,"標高1,917m",,https://ja.wikipedia.org/wiki/%E6%97%A9%E6%B1%A0%E5%B3%B0%E5%B1%B1
1022403,八甲田山,40.658907,140.877248,,2,青森県,,"標高1,584m",,https://ja.wikipedia.org/wiki/%E5%85%AB%E7%94%B2%E7%94%B0%E5%B1%B1
1022404,八幡平,39.935921,140.850603,,0,秋田県,,"標高1,613m",,https://ja.wikipedia.org/wiki/%E5%85%AB%E5%B9%A1%E5%B9%B3
1022405,岩手山,39.852607,141.001018,,3,岩手県,,"標高2,038m",,https://ja.wikipedia.org/wiki/%E5%B2%A9%E6%89%8B%E5%B1%B1
1022406,鳥海山,39.099369,140.048885,,6,山形県,,"標高2,236m",,https://ja.wikipedia.org/wiki/%E9%B3%A5%E6%B5%B7%E5%B1%B1
1022407,蔵王山,38.143878,140.439741,,0,山形県,,"標高1,841m",,https://ja.wikipedia.org/wiki/%E8%94%B5%E7%8E%8B%E9%80%A3%E5%B3%B0
1022408,西吾妻山,37.733973,140.12769,,0,山形県,,"標高2,035m",,https://ja.wikipedia.org/wiki/%E8%A5%BF%E5%90%BE%E5%A6%BB%E5%B1%B1
1022409,安達太良山,37.621123,140.287891,,7,福島県,,"標高1,700m",,https://ja.wikipedia.org/wiki/%E5%AE%89%E9%81%94%E5%A4%AA%E8%89%AF%E5%B1%B1
1022410,磐梯山,37.600975,140.072248,,7,福島県,,"標高1,819m",,https://ja.wikipedia.org/wiki/%E7%A3%90%E6%A2%AF%E5%B1%B1
1022411,月山,38.549136,140.026971,,6,山形県,,"標高1,984m",,https://ja.wikipedia.org/wiki/%E6%9C%88%E5%B1%B1
1022412,至仏山,36.903474,139.173248,,10,群馬県,,"標高2,228m",,https://ja.wikipedia.org/wiki/%E8%87%B3%E4%BB%8F%E5%B1%B1
1022413,燧ヶ岳,36.955102,139.285334,,7,福島県,,"標高2,356m",,https://ja.wikipedia.org/wiki/%E7%87%A7%E3%83%B6%E5%B2%B3
1022414,武尊山,36.805189,139.132601,,10,群馬県,,"標高2,158m",,https://ja.wikipedia.org/wiki/%E6%AD%A6%E5%B0%8A%E5%B1%B1
1022415,赤城山,36.540999,139.177351,,10,群馬県,,"標高1,828m",,https://ja.wikipedia.org/wiki/%E8%B5%A4%E5%9F%8E%E5%B1%B1
1022416,会津駒ヶ岳,42.063344,140.677287,,1,北海道,,"標高2,133m",,https://ja.wikipedia.org/wiki/%E4%BC%9A%E6%B4%A5%E9%A7%92%E3%83%B6%E5%B2%B3
1022417,那須岳,37.124861,139.963135,,9,栃木県,,"標高1,915m",,https://ja.wikipedia.org/wiki/%E9%82%A3%E9%A0%88%E5%B2%B3
